DATE,BAMLCC0A1AAATRIV
2013-05-06,545.69
2013-05-07,545.01
2013-05-08,545.84
2013-05-09,545.10
2013-05-10,541.93
2013-05-13,541.41
2013-05-14,539.76
2013-05-15,540.87
2013-05-16,543.37
2013-05-17,540.20
2013-05-20,540.02
2013-05-21,540.90
2013-05-22,538.70
2013-05-23,539.06
2013-05-24,539.77
2013-05-27,539.92
2013-05-28,536.08
2013-05-29,536.53
2013-05-30,536.04
2013-05-31,534.88
2013-06-03,536.02
2013-06-04,534.92
2013-06-05,535.94
2013-06-06,536.15
2013-06-07,532.60
2013-06-10,530.95
2013-06-11,531.13
2013-06-12,529.96
2013-06-13,531.73
2013-06-14,533.45
2013-06-17,531.78
2013-06-18,531.90
2013-06-19,528.08
2013-06-20,523.24
2013-06-21,521.02
2013-06-24,519.99
2013-06-25,518.69
2013-06-26,520.63
2013-06-27,522.50
2013-06-28,523.81
2013-06-30,523.92
2013-07-01,524.61
2013-07-02,525.50
2013-07-03,524.61
2013-07-04,524.66
2013-07-05,517.28
2013-07-08,520.39
2013-07-09,520.40
2013-07-10,518.99
2013-07-11,522.73
2013-07-12,521.76
2013-07-15,523.46
2013-07-16,524.63
2013-07-17,525.96
2013-07-18,523.95
2013-07-19,526.08
2013-07-22,526.69
2013-07-23,525.41
2013-07-24,523.27
2013-07-25,522.84
2013-07-26,524.98
2013-07-29,523.52
2013-07-30,523.10
2013-07-31,523.71
2013-08-01,518.87
2013-08-02,523.03
2013-08-05,521.70
2013-08-06,521.69
2013-08-07,523.12
2013-08-08,523.56
2013-08-09,523.82
2013-08-12,522.63
2013-08-13,518.87
2013-08-14,518.97
2013-08-15,516.87
2013-08-16,514.50
2013-08-19,512.37
2013-08-20,514.52
2013-08-21,513.03
2013-08-22,512.08
2013-08-23,515.28
2013-08-26,516.24
2013-08-27,519.79
2013-08-28,517.43
2013-08-29,519.31
2013-09-02,520.53
2013-09-03,516.43
2013-09-04,515.02
2013-09-05,511.34
2013-09-06,512.31
2013-09-09,514.22
2013-09-10,511.88
2013-09-11,513.16
2013-09-12,513.69
2013-09-13,513.75
2013-09-16,513.90
2013-09-17,514.36
2013-09-18,518.71
2013-09-19,517.52
2013-09-20,518.99
2013-09-23,519.74
2013-09-24,522.25
2013-09-25,523.60
2013-09-26,522.26
2013-09-27,522.72
2013-09-30,522.46
2013-10-01,521.27
2013-10-02,521.82
2013-10-03,522.24
2013-10-04,521.07
2013-10-07,522.20
2013-10-08,522.15
2013-10-09,521.13
2013-10-10,520.68
2013-10-11,521.29
2013-10-14,521.45
2013-10-15,520.34
2013-10-16,522.63
2013-10-17,525.25
2013-10-18,525.51
2013-10-21,524.68
2013-10-22,527.68
2013-10-23,528.64
2013-10-24,527.44
2013-10-25,528.29
2013-10-28,528.08
2013-10-29,527.94
2013-10-30,527.55
2013-10-31,527.39
2013-11-01,524.98
2013-11-04,525.25
2013-11-05,522.95
2013-11-06,523.36
2013-11-07,524.82
2013-11-08,520.33
2013-11-11,520.49
2013-11-12,519.82
2013-11-13,521.13
2013-11-14,522.79
2013-11-15,522.35
2013-11-18,524.82
2013-11-19,523.09
2013-11-20,520.12
2013-11-21,520.91
2013-11-22,522.61
2013-11-25,523.16
2013-11-26,525.10
