DATE,BAMLCC0A4BBBTRIV
1988-12-16,100.02
1988-12-19,100.07
1988-12-20,100.28
1988-12-21,100.45
1988-12-22,100.51
1988-12-23,100.69
1988-12-26,.
1988-12-27,100.61
1988-12-28,100.30
1988-12-29,100.18
1988-12-30,100.31
1988-12-31,100.28
1989-01-02,.
1989-01-03,100.10
1989-01-04,99.97
1989-01-05,99.96
1989-01-06,99.95
1989-01-09,100.11
1989-01-10,100.21
1989-01-11,100.28
1989-01-12,100.34
1989-01-13,100.81
1989-01-16,101.02
1989-01-17,101.05
1989-01-18,101.19
1989-01-19,101.30
1989-01-20,101.18
1989-01-23,101.20
1989-01-24,101.52
1989-01-25,101.70
1989-01-26,101.55
1989-01-27,101.92
1989-01-30,101.94
1989-01-31,101.82
1989-02-01,101.82
1989-02-02,101.90
1989-02-03,101.86
1989-02-06,101.89
1989-02-07,101.85
1989-02-08,102.37
1989-02-09,101.75
1989-02-10,101.07
1989-02-13,101.17
1989-02-14,101.20
1989-02-15,101.13
1989-02-16,101.20
1989-02-17,101.28
1989-02-20,.
1989-02-21,101.37
1989-02-22,101.23
1989-02-23,100.97
1989-02-24,100.89
1989-02-27,100.90
1989-02-28,101.22
1989-03-01,101.51
1989-03-02,101.30
1989-03-03,101.48
1989-03-06,101.71
1989-03-07,101.80
1989-03-08,101.86
1989-03-09,101.91
1989-03-10,101.76
1989-03-13,101.67
1989-03-14,101.69
1989-03-15,101.81
1989-03-16,102.00
1989-03-17,101.23
1989-03-20,101.32
1989-03-21,100.98
1989-03-22,101.17
1989-03-23,101.41
1989-03-24,.
1989-03-27,101.52
1989-03-28,101.54
1989-03-29,101.77
1989-03-30,102.04
1989-03-31,101.84
1989-04-03,102.34
1989-04-04,102.36
1989-04-05,102.46
1989-04-06,102.49
1989-04-07,102.40
1989-04-10,102.24
1989-04-11,102.33
1989-04-12,102.32
1989-04-13,102.33
1989-04-14,102.58
1989-04-17,102.79
1989-04-18,103.21
1989-04-19,103.35
1989-04-20,103.04
1989-04-21,102.96
1989-04-24,103.18
1989-04-25,.
1989-04-26,.
1989-04-27,.
1989-04-28,103.64
1989-04-30,103.70
1989-05-01,103.31
1989-05-02,103.16
1989-05-03,103.36
1989-05-04,103.38
1989-05-05,103.85
1989-05-08,103.69
1989-05-09,103.49
1989-05-10,103.12
1989-05-11,103.22
1989-05-12,104.43
1989-05-15,105.40
1989-05-16,104.58
1989-05-17,104.72
1989-05-18,104.93
1989-05-19,105.45
1989-05-22,106.03
1989-05-23,106.48
1989-05-24,106.02
1989-05-25,105.93
1989-05-26,106.03
1989-05-29,.
1989-05-30,106.43
1989-05-31,106.61
1989-06-01,106.70
1989-06-02,107.48
1989-06-05,108.07
1989-06-06,108.15
1989-06-07,.
1989-06-08,108.71
1989-06-09,109.16
1989-06-12,109.38
1989-06-13,109.11
1989-06-14,109.12
1989-06-15,109.20
1989-06-16,108.44
1989-06-19,108.41
1989-06-20,108.44
1989-06-21,108.66
1989-06-22,108.43
1989-06-23,108.55
1989-06-26,109.25
1989-06-27,109.50
1989-06-28,109.62
1989-06-29,109.46
1989-06-30,109.84
1989-07-03,109.84
1989-07-04,.
1989-07-05,109.84
1989-07-06,109.84
1989-07-07,110.39
1989-07-10,110.39
1989-07-11,110.39
1989-07-12,.
1989-07-13,110.41
1989-07-14,110.28
1989-07-17,110.31
1989-07-18,110.08
1989-07-19,109.79
1989-07-20,110.07
1989-07-21,110.10
1989-07-24,110.15
1989-07-25,110.30
1989-07-26,110.46
1989-07-27,110.82
1989-07-28,111.35
1989-07-31,111.45
1989-08-01,111.85
1989-08-02,111.96
1989-08-03,111.95
1989-08-04,111.15
1989-08-07,110.76
1989-08-08,110.78
1989-08-09,110.78
1989-08-10,110.65
1989-08-11,110.80
1989-08-14,110.32
1989-08-15,109.70
1989-08-16,110.17
1989-08-17,110.31
1989-08-18,110.05
1989-08-21,110.15
1989-08-22,109.87
1989-08-23,109.69
1989-08-24,110.09
1989-08-25,110.13
1989-08-28,110.05
1989-08-29,109.84
1989-08-30,109.97
1989-08-31,110.07
1989-09-01,110.38
1989-09-04,.
1989-09-05,110.41
1989-09-06,110.44
1989-09-07,110.57
1989-09-08,110.66
1989-09-11,110.86
1989-09-12,110.90
1989-09-13,110.93
1989-09-14,111.14
1989-09-15,111.16
1989-09-18,111.34
1989-09-19,111.32
1989-09-20,111.22
1989-09-21,110.88
1989-09-22,110.84
1989-09-25,110.77
1989-09-26,110.59
1989-09-27,110.76
1989-09-28,110.74
1989-09-29,110.68
1989-09-30,110.71
1989-10-02,110.83
1989-10-03,110.98
1989-10-04,111.24
1989-10-05,111.36
1989-10-06,111.71
1989-10-09,111.98
1989-10-10,112.18
1989-10-11,112.10
1989-10-12,112.16
1989-10-13,112.32
1989-10-16,113.22
1989-10-17,112.65
1989-10-18,112.64
1989-10-19,112.72
1989-10-20,112.72
1989-10-23,112.76
1989-10-24,112.75
1989-10-25,112.98
1989-10-26,112.98
1989-10-27,112.93
1989-10-30,112.94
1989-10-31,112.87
1989-11-01,112.90
1989-11-02,112.99
1989-11-03,112.81
1989-11-06,112.68
1989-11-07,112.79
1989-11-08,112.96
1989-11-09,113.01
1989-11-10,112.96
1989-11-13,113.02
1989-11-14,113.10
1989-11-15,113.18
1989-11-16,113.26
1989-11-17,113.18
1989-11-20,113.24
1989-11-21,113.27
1989-11-22,113.44
1989-11-23,.
1989-11-24,113.51
1989-11-27,113.64
1989-11-28,113.57
1989-11-29,113.59
1989-11-30,113.94
1989-12-01,113.92
1989-12-04,113.51
1989-12-05,113.56
1989-12-06,113.59
1989-12-07,113.50
1989-12-08,113.55
1989-12-11,113.64
1989-12-12,113.66
1989-12-13,113.70
1989-12-14,113.76
1989-12-15,113.81
1989-12-18,113.91
1989-12-19,113.95
1989-12-20,113.80
1989-12-21,113.80
1989-12-22,113.79
1989-12-25,.
1989-12-26,113.75
1989-12-27,113.79
1989-12-28,113.80
1989-12-29,113.88
1989-12-31,113.94
1990-01-02,113.87
1990-01-03,113.83
1990-01-04,113.84
1990-01-05,113.90
1990-01-08,113.98
1990-01-09,114.01
1990-01-10,113.99
1990-01-11,114.05
1990-01-12,113.90
1990-01-15,114.14
1990-01-16,113.88
1990-01-17,113.86
1990-01-18,113.78
1990-01-19,113.74
1990-01-22,113.63
1990-01-23,113.64
1990-01-24,113.19
1990-01-25,113.12
1990-01-26,112.93
1990-01-29,112.69
1990-01-30,112.44
1990-01-31,112.57
1990-02-01,112.68
1990-02-02,112.62
1990-02-05,112.63
1990-02-06,112.59
1990-02-07,112.52
1990-02-08,112.59
1990-02-09,112.72
1990-02-12,112.94
1990-02-13,112.95
1990-02-14,112.98
1990-02-15,112.86
1990-02-16,112.78
1990-02-19,.
1990-02-20,112.50
1990-02-21,112.17
1990-02-22,112.16
1990-02-23,112.41
1990-02-26,112.61
1990-02-27,112.85
1990-02-28,112.75
1990-03-01,112.48
1990-03-02,112.48
1990-03-05,112.45
1990-03-06,112.32
1990-03-07,112.44
1990-03-08,112.40
1990-03-09,112.26
1990-03-12,112.42
1990-03-13,112.46
1990-03-14,112.40
1990-03-15,112.56
1990-03-16,112.62
1990-03-19,112.89
1990-03-20,112.93
1990-03-21,113.14
1990-03-22,113.21
1990-03-23,113.30
1990-03-26,113.43
1990-03-27,113.47
1990-03-28,113.50
1990-03-29,113.51
1990-03-30,113.34
1990-03-31,113.37
1990-04-02,113.18
1990-04-03,113.22
1990-04-04,113.29
1990-04-05,113.55
1990-04-06,113.55
1990-04-09,113.52
1990-04-10,113.49
1990-04-11,113.40
1990-04-12,113.32
1990-04-13,.
1990-04-16,113.38
1990-04-17,113.15
1990-04-18,112.99
1990-04-19,112.66
1990-04-20,112.60
1990-04-23,112.39
1990-04-24,112.36
1990-04-25,111.86
1990-04-26,111.75
1990-04-27,111.54
1990-04-30,111.62
1990-05-01,111.61
1990-05-02,111.44
1990-05-03,111.52
1990-05-04,111.94
1990-05-07,111.88
1990-05-08,112.74
1990-05-09,112.76
1990-05-10,113.07
1990-05-11,113.61
1990-05-14,113.72
1990-05-15,113.63
1990-05-16,113.92
1990-05-17,113.79
1990-05-18,113.57
1990-05-21,113.79
1990-05-22,113.96
1990-05-23,114.23
1990-05-24,114.13
1990-05-25,113.87
1990-05-28,.
1990-05-29,114.20
1990-05-30,114.45
1990-05-31,114.56
1990-06-01,115.25
1990-06-04,115.62
1990-06-05,115.59
1990-06-06,115.61
1990-06-07,115.69
1990-06-08,114.88
1990-06-11,115.64
1990-06-12,115.79
1990-06-13,116.15
1990-06-14,116.20
1990-06-15,114.79
1990-06-18,115.76
1990-06-19,115.68
1990-06-20,115.51
1990-06-21,115.68
1990-06-22,115.71
1990-06-25,115.50
1990-06-26,115.70
1990-06-27,115.84
1990-06-28,116.04
1990-06-29,116.30
1990-06-30,116.34
1990-07-02,116.40
1990-07-03,116.55
1990-07-04,.
1990-07-05,116.54
1990-07-06,116.13
1990-07-09,115.99
1990-07-10,115.95
1990-07-11,115.96
1990-07-12,116.36
1990-07-13,116.62
1990-07-16,116.73
1990-07-17,116.78
1990-07-18,116.53
1990-07-19,116.59
1990-07-20,116.72
1990-07-23,116.73
1990-07-24,116.53
1990-07-25,116.75
1990-07-26,116.85
1990-07-27,117.26
1990-07-30,117.63
1990-07-31,117.81
1990-08-01,118.08
1990-08-02,117.72
1990-08-03,117.43
1990-08-06,116.63
1990-08-07,115.99
1990-08-08,116.04
1990-08-09,116.52
1990-08-10,116.52
1990-08-13,116.48
1990-08-14,116.59
1990-08-15,116.76
1990-08-16,116.28
1990-08-17,116.08
1990-08-20,116.06
1990-08-21,116.04
1990-08-22,115.72
1990-08-23,115.05
1990-08-24,114.83
1990-08-27,115.69
1990-08-28,115.49
1990-08-29,115.83
1990-08-30,115.63
1990-08-31,115.82
1990-09-03,.
1990-09-04,115.73
1990-09-05,115.87
1990-09-06,116.09
1990-09-07,116.33
1990-09-10,116.39
1990-09-11,116.24
1990-09-12,116.36
1990-09-13,116.40
1990-09-14,116.29
1990-09-17,116.13
1990-09-18,116.09
1990-09-19,116.10
1990-09-20,116.12
1990-09-21,115.79
1990-09-24,115.53
1990-09-25,115.53
1990-09-26,115.22
1990-09-27,115.40
1990-09-28,115.49
1990-09-30,115.55
1990-10-01,116.00
1990-10-02,116.37
1990-10-03,116.46
1990-10-04,116.72
1990-10-05,116.80
1990-10-08,116.69
1990-10-09,115.94
1990-10-10,115.62
1990-10-11,115.26
1990-10-12,115.62
1990-10-15,115.68
1990-10-16,115.49
1990-10-17,115.62
1990-10-18,115.88
1990-10-19,116.07
1990-10-22,116.18
1990-10-23,116.21
1990-10-24,116.16
1990-10-25,116.38
1990-10-26,116.38
1990-10-29,116.29
1990-10-30,116.09
1990-10-31,115.77
1990-11-01,116.07
1990-11-02,116.10
1990-11-05,116.24
1990-11-06,116.55
1990-11-07,116.45
1990-11-08,116.39
1990-11-09,116.67
1990-11-12,117.16
1990-11-13,117.25
1990-11-14,117.38
1990-11-15,117.33
1990-11-16,117.60
1990-11-19,117.54
1990-11-20,117.71
1990-11-21,118.12
1990-11-22,.
1990-11-23,118.10
1990-11-26,118.20
1990-11-27,118.21
1990-11-28,118.22
1990-11-29,117.93
1990-11-30,117.86
1990-12-03,118.15
1990-12-04,118.36
1990-12-05,118.42
1990-12-06,118.49
1990-12-07,118.94
1990-12-10,119.54
1990-12-11,119.67
1990-12-12,119.83
1990-12-13,119.72
1990-12-14,119.59
1990-12-17,119.74
1990-12-18,119.87
1990-12-19,120.03
1990-12-20,119.88
1990-12-21,119.71
1990-12-24,119.51
1990-12-25,.
1990-12-26,119.74
1990-12-27,119.86
1990-12-28,119.82
1990-12-31,120.12
1991-01-01,.
1991-01-02,120.50
1991-01-03,120.62
1991-01-04,120.49
1991-01-07,120.15
1991-01-08,120.06
1991-01-09,119.90
1991-01-10,119.96
1991-01-11,119.96
1991-01-14,119.80
1991-01-15,119.95
1991-01-16,119.85
1991-01-17,120.71
1991-01-18,120.81
1991-01-21,120.86
1991-01-22,120.89
1991-01-23,120.81
1991-01-24,121.12
1991-01-25,120.99
1991-01-28,121.10
1991-01-29,121.21
