DATE,RU2000TR
1978-12-29,100.00
1979-01-01,.
1979-01-02,100.71
1979-01-03,102.52
1979-01-04,104.07
1979-01-05,105.46
1979-01-08,105.20
1979-01-09,106.12
1979-01-10,105.89
1979-01-11,106.37
1979-01-12,107.58
1979-01-15,108.21
1979-01-16,107.30
1979-01-17,107.08
1979-01-18,108.07
1979-01-19,108.46
1979-01-22,108.38
1979-01-23,109.15
1979-01-24,108.90
1979-01-25,109.63
1979-01-26,110.31
1979-01-29,110.23
1979-01-30,110.06
1979-01-31,109.25
1979-02-01,109.14
1979-02-02,109.23
1979-02-05,107.72
1979-02-06,107.65
1979-02-07,106.35
1979-02-08,107.00
1979-02-09,107.57
1979-02-12,107.63
1979-02-13,108.64
1979-02-14,108.60
1979-02-15,108.87
1979-02-16,109.31
1979-02-19,.
1979-02-20,109.72
1979-02-21,109.68
1979-02-22,109.38
1979-02-23,108.90
1979-02-26,108.74
1979-02-27,106.34
1979-02-28,106.19
1979-03-01,106.97
1979-03-02,107.45
1979-03-05,108.38
1979-03-06,108.28
1979-03-07,109.21
1979-03-08,110.34
1979-03-09,110.54
1979-03-12,110.96
1979-03-13,111.53
1979-03-14,111.66
1979-03-15,112.19
1979-03-16,113.15
1979-03-19,113.61
1979-03-20,113.28
1979-03-21,113.96
1979-03-22,114.58
1979-03-23,115.27
1979-03-26,114.79
1979-03-27,115.88
1979-03-28,115.87
1979-03-29,116.50
1979-03-30,116.88
1979-04-02,116.24
1979-04-03,117.56
1979-04-04,118.17
1979-04-05,118.80
1979-04-06,118.88
1979-04-09,118.67
1979-04-10,119.18
1979-04-11,118.52
1979-04-12,118.75
1979-04-13,.
1979-04-16,117.68
1979-04-17,117.58
1979-04-18,118.41
1979-04-19,118.39
1979-04-20,118.65
1979-04-23,119.04
1979-04-24,119.75
1979-04-25,120.23
1979-04-26,120.08
1979-04-27,119.90
1979-04-30,119.79
1979-05-01,119.85
1979-05-02,120.03
1979-05-03,120.17
1979-05-04,119.36
1979-05-07,116.32
1979-05-08,115.54
1979-05-09,116.11
1979-05-10,115.28
1979-05-11,115.46
1979-05-14,114.95
1979-05-15,115.07
1979-05-16,115.14
1979-05-17,116.56
1979-05-18,117.08
1979-05-21,117.53
1979-05-22,118.24
1979-05-23,118.31
1979-05-24,118.73
1979-05-25,119.38
1979-05-28,.
1979-05-29,119.35
1979-05-30,118.12
1979-05-31,118.11
1979-06-01,118.42
1979-06-04,118.52
1979-06-05,119.73
1979-06-06,120.52
1979-06-07,121.27
