DATE,SP35BOND
4/30/08,338.46
5/1/08,338.15
5/2/08,337.01
5/5/08,337.44
5/6/08,337.29
5/7/08,337.86
5/8/08,338.96
5/9/08,339.53
5/12/08,339.3
5/13/08,336.93
5/14/08,336.15
5/15/08,337.54
5/16/08,337.46
5/19/08,337.84
5/20/08,338.95
5/21/08,337.85
5/22/08,336.18
5/23/08,337.51
5/27/08,336.43
5/28/08,335.06
5/29/08,334.26
5/30/08,334.4
6/2/08,336.24
6/3/08,337.42
6/4/08,337.16
6/5/08,336.12
6/6/08,337.5
6/9/08,334.99
6/10/08,333.03
6/11/08,333.89
6/12/08,331.45
6/13/08,330.51
6/16/08,330.96
6/17/08,331.65
6/18/08,332.85
6/19/08,331.85
6/20/08,333.12
6/23/08,332.52
6/24/08,333.54
6/25/08,333.59
6/26/08,335.45
6/27/08,335.89
6/30/08,336.35
7/1/08,336.21
7/2/08,336.97
7/3/08,337.37
7/7/08,338.22
7/8/08,338.83
7/9/08,339.57
7/10/08,339.91
7/11/08,337.44
7/14/08,338.77
7/15/08,339.74
7/16/08,339.02
7/17/08,337.21
7/18/08,336.45
7/21/08,336.54
7/22/08,335.8
7/23/08,334.9
7/24/08,337.23
7/25/08,336.22
7/28/08,337.71
7/29/08,337.39
7/30/08,337.25
7/31/08,338.58
8/1/08,339.14
8/4/08,338.85
8/5/08,338.67
8/6/08,338.28
8/7/08,340.01
8/8/08,339.41
8/11/08,338.92
8/12/08,340.28
8/13/08,339.89
8/14/08,340.51
8/15/08,340.96
8/18/08,341.66
8/19/08,341.63
8/20/08,342.43
8/21/08,341.74
8/22/08,340.91
8/25/08,342.24
8/26/08,342.1
8/27/08,342.39
8/28/08,341.88
8/29/08,341.96
9/2/08,343.38
9/3/08,344.12
9/4/08,344.84
9/5/08,344.25
9/8/08,343.93
9/9/08,344.87
9/10/08,344.48
9/11/08,344.93
9/12/08,344.1
9/15/08,348.9
9/16/08,347.66
9/17/08,350.47
9/18/08,350.2
9/19/08,343.67
9/22/08,343.49
9/23/08,343.67
9/24/08,345.64
9/25/08,343.39
9/26/08,344.44
9/29/08,348.45
9/30/08,344.92
10/1/08,346.59
10/2/08,349.26
10/3/08,349.43
10/6/08,353.12
10/7/08,352.26
10/8/08,349.64
10/9/08,348.13
10/10/08,349.32
10/14/08,346.89
10/15/08,348.15
10/16/08,349.22
10/17/08,349.18
10/20/08,349.43
10/21/08,352.65
10/22/08,353.01
10/23/08,353.62
10/24/08,352.22
10/27/08,351.63
10/28/08,351.12
10/29/08,351.02
10/30/08,350.66
10/31/08,351.41
11/3/08,353.68
11/4/08,355.36
11/5/08,356
11/6/08,356.1
11/7/08,355.12
11/10/08,355.59
11/12/08,357.68
11/13/08,356.99
11/14/08,357.78
11/17/08,358.31
11/18/08,359.8
11/19/08,361.04
11/20/08,363.13
11/21/08,362.27
11/24/08,359.49
11/25/08,362.32
11/26/08,363.02
11/28/08,363.69
12/1/08,367.06
12/2/08,367.36
12/3/08,367.98
12/4/08,368.91
12/5/08,367.08
12/8/08,366.24
12/9/08,367.41
12/10/08,367.61
12/11/08,368.65
12/12/08,368.75
12/15/08,369.56
12/16/08,371.38
12/17/08,370.92
12/18/08,371.52
12/19/08,370.32
12/22/08,369.61
12/23/08,369.27
12/24/08,368.66
12/26/08,369.41
12/29/08,370.07
12/30/08,369.95
12/31/08,368.8
1/2/09,366.21
1/5/09,366.92
1/6/09,366.79
1/7/09,367.28
1/8/09,368.1
1/9/09,368.87
1/12/09,369.96
1/13/09,369.93
1/14/09,370.65
1/15/09,370.29
1/16/09,369.15
1/20/09,369.3
1/21/09,367.39
1/22/09,367.27
1/23/09,366.87
1/26/09,366.66
1/27/09,367.75
1/28/09,366.16
1/29/09,364.44
1/30/09,364.34
2/2/09,365.99
2/3/09,364.39
2/4/09,363.63
2/5/09,364
2/6/09,363.18
2/9/09,362.63
2/10/09,365.33
2/11/09,365.63
2/12/09,366.2
2/13/09,364.24
2/17/09,366.8
2/18/09,365.23
2/19/09,363.99
2/20/09,365.04
2/23/09,364.59
2/24/09,363.91
2/25/09,362.06
2/26/09,361.91
2/27/09,362.57
3/2/09,364.84
3/3/09,364.24
3/4/09,363.19
3/5/09,365.24
3/6/09,364.57
3/9/09,363.85
3/10/09,362.53
3/11/09,363.05
3/12/09,363.54
3/13/09,364.17
3/16/09,363.66
3/17/09,362.79
3/18/09,369.11
3/19/09,367.47
3/20/09,367.45
3/23/09,366.99
3/24/09,366.85
3/25/09,365.37
3/26/09,366.36
3/27/09,366.18
3/30/09,367.18
3/31/09,367.95
4/1/09,368.27
4/2/09,366.99
4/3/09,364.86
4/6/09,364.68
4/7/09,365.22
4/8/09,365.65
4/9/09,364.9
4/13/09,366.32
4/14/09,367.27
4/15/09,367.55
4/16/09,366.61
4/17/09,365.1
4/20/09,366.35
4/21/09,365.57
4/22/09,364.89
4/23/09,365.23
4/24/09,364.58
4/27/09,365.92
4/28/09,364.84
4/29/09,364.05
4/30/09,364.15
5/1/09,363.99
5/4/09,364.05
5/5/09,363.92
5/6/09,364.03
5/7/09,362.7
5/8/09,362.76
5/11/09,364.5
5/12/09,364.79
5/13/09,365.61
5/14/09,365.75
5/15/09,365.56
5/18/09,364.28
5/19/09,364
5/20/09,364.93
5/21/09,363.7
5/22/09,362.97
5/26/09,362.32
5/27/09,360.76
5/28/09,360.42
5/29/09,362.3
6/1/09,359.94
6/2/09,360.34
6/3/09,361.33
6/4/09,359.77
6/5/09,355.69
6/8/09,354.72
6/9/09,355.81
6/10/09,355.01
6/11/09,355.92
6/12/09,356.68
6/15/09,357.58
6/16/09,357.9
6/17/09,358.31
6/18/09,356.06
6/19/09,356.54
6/22/09,357.92
6/23/09,358.23
6/24/09,357.95
6/25/09,359.77
6/26/09,360.51
6/29/09,360.59
6/30/09,360.2
7/1/09,360.78
7/2/09,362.02
7/6/09,362.6
7/7/09,363.05
7/8/09,364.93
7/9/09,363.58
7/10/09,364.98
7/13/09,364.5
7/14/09,363.56
7/15/09,361.35
7/16/09,362.14
7/17/09,361.29
7/20/09,362.45
7/21/09,363.81
7/22/09,362.9
7/23/09,360.66
7/24/09,361.11
7/27/09,360.87
7/28/09,360.5
7/29/09,359.88
7/30/09,360.02
7/31/09,361.78
8/3/09,360.07
8/4/09,359.87
8/5/09,359.25
8/6/09,359.63
8/7/09,358.12
8/10/09,359.43
8/11/09,360
8/12/09,360.44
8/13/09,361.8
8/14/09,362.6
8/17/09,363.73
8/18/09,363.06
8/19/09,363.84
8/20/09,363.9
8/21/09,362.04
8/24/09,363.02
8/25/09,363.46
8/26/09,363.62
8/27/09,363.56
8/28/09,363.94
8/31/09,364.97
9/1/09,365.91
9/2/09,366.84
9/3/09,366.6
9/4/09,365.55
9/8/09,365.46
9/9/09,365.45
9/10/09,366.76
9/11/09,366.65
9/14/09,365.92
9/15/09,365.4
9/16/09,364.77
9/17/09,365.62
9/18/09,364.48
9/21/09,364.59
9/22/09,365.12
9/23/09,365.86
9/24/09,366.35
9/25/09,366.34
9/28/09,366.76
9/29/09,366.77
9/30/09,367.05
10/1/09,368.73
10/2/09,368.45
10/5/09,368.41
10/6/09,368.13
10/7/09,369.22
10/8/09,368.36
10/9/09,366.7
10/13/09,368
10/14/09,366.96
10/15/09,366.34
10/16/09,366.74
10/19/09,366.94
10/20/09,367.82
10/21/09,366.66
10/22/09,366.76
10/23/09,365.84
10/26/09,365.02
10/27/09,366.62
10/28/09,367.33
10/29/09,366.39
10/30/09,368.05
11/2/09,367.98
11/3/09,367.63
11/4/09,367.38
11/5/09,367.97
11/6/09,368.57
11/9/09,368.75
11/10/09,368.78
11/12/09,369.36
11/13/09,369.47
11/16/09,370.68
11/17/09,370.9
11/18/09,370.59
11/19/09,371.21
11/20/09,371.1
11/23/09,371.13
11/24/09,372.1
11/25/09,372.46
11/27/09,373.53
11/30/09,374.05
12/1/09,373.71
12/2/09,372.9
12/3/09,372.41
12/4/09,370.67
12/7/09,371.67
12/8/09,372.83
12/9/09,372.51
12/10/09,371.96
12/11/09,371.15
12/14/09,370.59
12/15/09,369.73
12/16/09,370
12/17/09,371.57
12/18/09,370.79
12/21/09,369.27
12/22/09,368.63
12/23/09,368.26
12/24/09,367.47
12/28/09,366.79
12/29/09,366.92
12/30/09,367.12
12/31/09,366.06
1/4/10,366.82
1/5/10,367.85
1/6/10,367.46
1/7/10,367.15
1/8/10,367.86
1/11/10,368.02
1/12/10,369.27
1/13/10,368.5
1/14/10,369.23
1/15/10,370.08
1/19/10,369.73
1/20/10,370.1
1/21/10,371
1/22/10,371.41
1/25/10,371.07
1/26/10,371.33
1/27/10,370.79
1/28/10,371.11
1/29/10,371.94
2/1/10,371.44
2/2/10,371.69
2/3/10,371.12
2/4/10,372.72
2/5/10,373.47
2/8/10,373.34
2/9/10,372.52
2/10/10,371.69
2/11/10,371.72
2/12/10,372.33
2/16/10,372.72
2/17/10,371.59
2/18/10,370.99
2/19/10,370.64
2/22/10,370.83
2/23/10,372.18
2/24/10,372.16
2/25/10,373.03
2/26/10,373.4
3/1/10,373.79
3/2/10,374.07
3/3/10,374.02
3/4/10,373.86
3/5/10,372.92
3/8/10,372.74
3/9/10,373.13
3/10/10,372.52
3/11/10,372.02
3/12/10,372.07
3/15/10,372.13
3/16/10,372.86
3/17/10,372.69
3/18/10,372.07
3/19/10,371.49
3/22/10,372.11
3/23/10,371.96
3/24/10,369.88
3/25/10,369.63
3/26/10,370.27
3/29/10,370.18
3/30/10,370.23
3/31/10,370.8
4/1/10,370.47
4/2/10,369.45
4/5/10,369.55
4/6/10,370.08
4/7/10,371.33
4/8/10,371.13
4/9/10,371.3
4/12/10,371.81
4/13/10,372.01
4/14/10,371.74
4/15/10,372.38
4/16/10,373.62
4/19/10,373.05
4/20/10,372.75
4/21/10,373.19
4/22/10,372.68
4/23/10,372.03
4/26/10,372.4
4/27/10,374.43
4/28/10,373.34
4/29/10,373.79
4/30/10,374.92
5/3/10,374.27
5/4/10,375.39
5/5/10,376.45
5/6/10,379.29
5/7/10,378.05
5/10/10,376.71
5/11/10,377.13
5/12/10,376.68
5/13/10,377.19
5/14/10,378.7
5/17/10,378.23
5/18/10,379.64
5/19/10,379.28
5/20/10,380.87
5/21/10,380.62
5/24/10,380.48
5/25/10,380.62
5/26/10,379.98
5/27/10,378.34
5/28/10,379.3
6/1/10,380.55
6/2/10,379.29
6/3/10,378.89
6/4/10,381.55
6/7/10,382.12
6/8/10,381.51
6/9/10,381.63
6/10/10,379.98
6/11/10,381.15
6/14/10,381
6/15/10,380.56
6/16/10,380.97
6/17/10,381.74
6/18/10,381.52
6/21/10,381.47
6/22/10,382.45
6/23/10,383.11
6/24/10,383.23
6/25/10,383.72
6/28/10,384.75
6/29/10,385.4
6/30/10,385.23
7/1/10,384.92
7/2/10,384.92
7/6/10,385.64
7/7/10,385.41
7/8/10,385.2
7/9/10,384.83
7/12/10,384.93
7/13/10,384.21
7/14/10,385.36
7/15/10,386.23
7/16/10,387.38
7/19/10,386.97
7/20/10,387.29
7/21/10,388.1
7/22/10,387.62
7/23/10,386.94
7/26/10,386.84
7/27/10,386.06
7/28/10,387.37
7/29/10,388.26
7/30/10,389.4
8/2/10,388.9
8/3/10,390.17
8/4/10,389.22
8/5/10,389.91
8/6/10,390.73
8/9/10,390.42
8/10/10,391.45
8/11/10,391.64
8/12/10,390.82
8/13/10,391.19
8/16/10,392.1
8/17/10,391.65
8/18/10,391.41
8/19/10,392.04
8/20/10,391.21
8/23/10,391.81
8/24/10,392.96
8/25/10,392.16
8/26/10,392.52
8/27/10,390.88
8/30/10,392.44
8/31/10,392.9
9/1/10,392.12
9/2/10,391.88
9/3/10,391.16
9/7/10,392.36
9/8/10,391.62
9/9/10,390.23
9/10/10,389.91
9/13/10,391.03
9/14/10,392.13
9/15/10,391.95
9/16/10,391.73
9/17/10,392.08
9/20/10,392.6
9/21/10,394.01
9/22/10,393.87
9/23/10,393.96
9/24/10,393.44
9/27/10,394.5
9/28/10,395.03
9/29/10,394.71
9/30/10,394.85
10/1/10,395.06
10/4/10,395.54
10/5/10,395.89
10/6/10,396.37
10/7/10,396.83
10/8/10,397.25
10/12/10,396.73
10/13/10,396.95
10/14/10,396.16
10/15/10,396.18
10/18/10,397.06
10/19/10,397.41
10/20/10,397.57
10/21/10,397.06
10/22/10,396.99
10/25/10,396.63
10/26/10,395.54
10/27/10,394.81
10/28/10,396.32
10/29/10,397.26
11/1/10,397.43
11/2/10,397.56
11/3/10,398.39
11/4/10,399.23
11/5/10,398.18
11/8/10,397.66
11/9/10,395.86
11/10/10,396.47
11/12/10,394.44
11/15/10,392.56
11/16/10,393.27
11/17/10,393.36
11/18/10,393.07
11/19/10,392.86
11/22/10,394.12
11/23/10,394.6
11/24/10,392.7
11/26/10,393.26
11/29/10,393.54
11/30/10,394.22
12/1/10,391.82
12/2/10,391.35
12/3/10,392.35
12/6/10,393.82
12/7/10,391.07
12/8/10,389.4
12/9/10,388.76
12/10/10,387.73
12/13/10,388.76
12/14/10,387.25
12/15/10,386.69
12/16/10,387.41
12/17/10,388.66
12/20/10,388.72
12/21/10,388.66
12/22/10,388.09
12/23/10,387.43
12/27/10,387.56
12/28/10,386.03
12/29/10,388.29
12/30/10,387.9
12/31/10,388.7
1/3/11,388.65
1/4/11,388.82
1/5/11,387.06
1/6/11,387.77
1/7/11,389.39
1/10/11,390.09
1/11/11,389.61
1/12/11,389.32
1/13/11,390.49
1/14/11,390.23
1/18/11,389.98
1/19/11,390.25
1/20/11,388.91
1/21/11,389.34
1/24/11,389.33
1/25/11,390.23
1/26/11,389.55
1/27/11,390.31
1/28/11,391.16
1/31/11,390.85
2/1/11,389.86
2/2/11,388.84
2/3/11,387.74
2/4/11,386.43
2/7/11,386.21
2/8/11,384.69
2/9/11,385.53
2/10/11,384.65
2/11/11,385.13
2/14/11,385.04
2/15/11,385.52
2/16/11,385.3
2/17/11,386.28
2/18/11,386.6
2/22/11,388.47
2/23/11,387.97
2/24/11,388.09
2/25/11,388.64
2/28/11,389.04
3/1/11,389.43
3/2/11,388.6
3/3/11,386.79
3/4/11,388.67
3/7/11,388.37
3/8/11,388.03
3/9/11,388.97
3/10/11,390.5
3/11/11,390.53
3/14/11,391.3
3/15/11,391.44
3/16/11,393.23
3/17/11,392.43
3/18/11,392.05
3/21/11,390.88
3/22/11,390.67
3/23/11,390.51
3/24/11,389.54
3/25/11,389.02
3/28/11,388.65
3/29/11,388.09
3/30/11,388.75
3/31/11,388.14
4/1/11,388.28
4/4/11,389.05
4/5/11,387.96
4/6/11,387.34
4/7/11,388.04
4/8/11,387.61
4/11/11,387.68
4/12/11,389.11
4/13/11,389.64
4/14/11,389.05
4/15/11,390.49
