DATE,SP500
1/2/86,209.59
1/3/86,210.88
1/6/86,210.65
1/7/86,213.8
1/8/86,207.97
1/9/86,206.11
1/10/86,205.96
1/13/86,206.72
1/14/86,206.64
1/15/86,208.26
1/16/86,209.17
1/17/86,208.43
1/20/86,207.53
1/21/86,205.79
1/22/86,203.49
1/23/86,204.25
1/24/86,206.43
1/27/86,207.39
1/28/86,209.81
1/29/86,210.29
1/30/86,209.33
1/31/86,211.78
2/3/86,213.96
2/4/86,212.79
2/5/86,212.96
2/6/86,213.47
2/7/86,214.56
2/10/86,216.24
2/11/86,215.92
2/12/86,215.97
2/13/86,217.4
2/14/86,219.76
2/18/86,222.45
2/19/86,219.76
2/20/86,222.22
2/21/86,224.62
2/24/86,224.34
2/25/86,223.79
2/26/86,224.04
2/27/86,226.77
2/28/86,226.92
3/3/86,225.42
3/4/86,224.38
3/5/86,224.34
3/6/86,225.13
3/7/86,225.57
3/10/86,226.58
3/11/86,231.69
3/12/86,232.54
3/13/86,233.19
3/14/86,236.55
3/17/86,234.67
3/18/86,235.78
3/19/86,235.6
3/20/86,236.54
3/21/86,233.34
3/24/86,235.33
3/25/86,234.72
3/26/86,237.3
3/27/86,238.97
3/31/86,238.9
4/1/86,235.14
4/2/86,235.71
4/3/86,232.47
4/4/86,228.69
4/7/86,228.63
4/8/86,233.52
4/9/86,233.75
4/10/86,236.44
4/11/86,235.97
4/14/86,237.28
4/15/86,237.73
4/16/86,242.22
4/17/86,243.03
4/18/86,242.38
4/21/86,244.74
4/22/86,242.42
4/23/86,241.75
4/24/86,242.02
4/25/86,242.29
4/28/86,243.08
4/29/86,240.51
4/30/86,235.52
5/1/86,235.16
5/2/86,234.79
5/5/86,237.73
5/6/86,237.24
5/7/86,236.08
5/8/86,237.13
5/9/86,237.85
5/12/86,237.58
5/13/86,236.41
5/14/86,237.54
5/15/86,234.43
5/16/86,232.76
5/19/86,233.2
5/20/86,236.11
5/21/86,235.45
5/22/86,240.12
5/23/86,241.35
5/27/86,244.75
5/28/86,246.63
5/29/86,247.98
5/30/86,247.35
6/2/86,245.04
6/3/86,245.51
6/4/86,243.94
6/5/86,245.65
6/6/86,245.67
6/9/86,239.96
6/10/86,239.58
6/11/86,241.13
6/12/86,241.49
6/13/86,245.73
6/16/86,246.13
6/17/86,244.35
6/18/86,244.99
6/19/86,244.06
6/20/86,247.58
6/23/86,245.26
6/24/86,247.03
6/25/86,248.93
6/26/86,248.74
6/27/86,249.6
6/30/86,250.84
7/1/86,252.04
7/2/86,252.7
7/3/86,251.79
7/7/86,244.05
7/8/86,241.59
7/9/86,242.82
7/10/86,243.01
7/11/86,242.22
7/14/86,238.11
7/15/86,233.66
7/16/86,235.01
7/17/86,236.07
7/18/86,236.36
7/21/86,236.24
7/22/86,238.18
7/23/86,238.67
7/24/86,237.95
7/25/86,240.22
7/28/86,236.01
7/29/86,234.55
7/30/86,236.59
7/31/86,236.12
8/1/86,234.91
8/4/86,235.99
8/5/86,237.03
8/6/86,236.84
8/7/86,237.04
8/8/86,236.88
8/11/86,240.68
8/12/86,243.34
8/13/86,245.67
8/14/86,246.25
8/15/86,247.15
8/18/86,247.38
8/19/86,246.51
8/20/86,249.77
8/21/86,249.67
8/22/86,250.19
8/25/86,247.81
8/26/86,252.84
8/27/86,253.3
8/28/86,252.84
8/29/86,252.93
9/2/86,248.52
9/3/86,250.08
9/4/86,253.83
9/5/86,250.47
9/8/86,248.14
9/9/86,247.67
9/10/86,247.06
9/11/86,235.18
9/12/86,230.67
9/15/86,231.94
9/16/86,231.72
9/17/86,231.68
9/18/86,232.31
9/19/86,232.21
9/22/86,234.93
9/23/86,235.67
9/24/86,236.28
9/25/86,231.83
9/26/86,232.23
9/29/86,229.91
9/30/86,231.32
10/1/86,233.6
10/2/86,233.92
10/3/86,233.71
10/6/86,234.78
10/7/86,234.41
10/8/86,236.68
10/9/86,235.85
10/10/86,235.48
10/13/86,235.91
10/14/86,235.37
10/15/86,238.8
10/16/86,239.53
10/17/86,238.84
10/20/86,235.97
10/21/86,235.88
10/22/86,236.26
10/23/86,239.28
10/24/86,238.26
10/27/86,238.77
10/28/86,239.26
10/29/86,240.94
10/30/86,243.71
10/31/86,243.98
11/3/86,245.8
11/4/86,246.2
11/5/86,246.58
11/6/86,245.87
11/7/86,245.77
11/10/86,246.13
11/11/86,247.08
11/12/86,246.64
11/13/86,243.02
11/14/86,244.5
11/17/86,243.21
11/18/86,236.78
11/19/86,237.66
11/20/86,242.05
11/21/86,245.86
11/24/86,247.45
11/25/86,248.17
11/26/86,248.77
11/28/86,249.22
12/1/86,249.05
12/2/86,254
12/3/86,253.85
12/4/86,253.04
12/5/86,251.17
12/8/86,251.16
12/9/86,249.28
12/10/86,250.96
12/11/86,248.17
12/12/86,247.35
12/15/86,248.21
12/16/86,250.04
12/17/86,247.56
12/18/86,246.78
12/19/86,249.73
12/22/86,248.75
12/23/86,246.34
12/24/86,246.75
12/26/86,246.92
12/29/86,244.67
12/30/86,243.37
12/31/86,242.17
1/2/87,246.45
1/5/87,252.19
1/6/87,252.78
1/7/87,255.33
1/8/87,257.28
1/9/87,258.73
1/12/87,260.3
1/13/87,259.95
1/14/87,262.64
1/15/87,265.49
1/16/87,266.28
1/19/87,269.34
1/20/87,269.04
1/21/87,267.84
1/22/87,273.91
1/23/87,270.1
1/26/87,269.61
1/27/87,273.75
1/28/87,275.4
1/29/87,274.24
1/30/87,274.08
2/2/87,276.45
2/3/87,275.99
2/4/87,279.64
2/5/87,281.16
2/6/87,280.04
2/9/87,278.16
2/10/87,275.07
2/11/87,277.54
2/12/87,275.62
2/13/87,279.7
2/17/87,285.49
2/18/87,285.42
2/19/87,285.57
2/20/87,285.48
2/23/87,282.38
2/24/87,282.88
2/25/87,284
2/26/87,282.96
2/27/87,284.2
3/2/87,283
3/3/87,284.12
3/4/87,288.62
3/5/87,290.52
3/6/87,290.66
3/9/87,288.3
3/10/87,290.86
3/11/87,290.31
3/12/87,291.22
3/13/87,289.89
3/16/87,288.23
3/17/87,292.47
3/18/87,292.78
3/19/87,294.08
3/20/87,298.17
3/23/87,301.16
3/24/87,301.64
3/25/87,300.38
3/26/87,300.93
3/27/87,296.13
3/30/87,289.2
3/31/87,291.7
4/1/87,292.39
4/2/87,293.63
4/3/87,300.41
4/6/87,301.95
4/7/87,296.69
4/8/87,297.26
4/9/87,292.86
4/10/87,292.49
4/13/87,285.62
4/14/87,279.16
4/15/87,284.44
4/16/87,286.91
4/20/87,286.09
4/21/87,293.07
4/22/87,287.19
4/23/87,286.82
4/24/87,281.52
4/27/87,281.83
4/28/87,282.51
4/29/87,284.57
4/30/87,288.36
5/1/87,288.03
5/4/87,289.36
5/5/87,295.34
5/6/87,295.47
5/7/87,294.71
5/8/87,293.37
5/11/87,291.57
5/12/87,293.3
5/13/87,293.98
5/14/87,294.24
5/15/87,287.43
5/18/87,286.65
5/19/87,279.62
5/20/87,278.21
5/21/87,280.17
5/22/87,282.16
5/26/87,289.11
5/27/87,288.73
5/28/87,290.76
5/29/87,290.1
6/1/87,289.83
6/2/87,288.46
6/3/87,293.47
6/4/87,295.09
6/5/87,293.45
6/8/87,296.72
6/9/87,297.28
6/10/87,297.47
6/11/87,298.73
6/12/87,301.62
6/15/87,303.14
6/16/87,304.76
6/17/87,304.81
6/18/87,305.69
6/19/87,306.97
6/22/87,309.65
6/23/87,308.43
6/24/87,306.86
6/25/87,308.96
6/26/87,307.16
6/29/87,307.9
6/30/87,304
7/1/87,302.94
7/2/87,305.63
7/6/87,304.92
7/7/87,307.4
7/8/87,308.29
7/9/87,307.52
7/10/87,308.37
7/13/87,307.63
7/14/87,310.68
7/15/87,310.42
7/16/87,312.7
7/17/87,314.59
7/20/87,311.39
7/21/87,308.55
7/22/87,308.47
7/23/87,307.81
7/24/87,309.27
7/27/87,310.65
7/28/87,312.33
7/29/87,315.65
7/30/87,318.05
7/31/87,318.66
8/3/87,317.57
8/4/87,316.23
8/5/87,318.45
8/6/87,322.09
8/7/87,323
8/10/87,328
8/11/87,333.33
8/12/87,332.39
8/13/87,334.65
8/14/87,333.99
8/17/87,334.11
8/18/87,329.25
8/19/87,329.83
8/20/87,334.84
8/21/87,335.9
8/24/87,333.33
8/25/87,336.77
8/26/87,334.57
8/27/87,331.38
8/28/87,327.04
8/31/87,329.8
9/1/87,323.4
9/2/87,321.68
9/3/87,320.21
9/4/87,316.7
9/8/87,313.56
9/9/87,313.92
9/10/87,317.13
9/11/87,321.98
9/14/87,323.08
9/15/87,317.74
9/16/87,314.86
9/17/87,314.93
9/18/87,314.86
9/21/87,310.54
9/22/87,319.5
9/23/87,321.19
9/24/87,319.72
9/25/87,320.16
9/28/87,323.2
9/29/87,321.69
9/30/87,321.83
10/1/87,327.33
10/2/87,328.07
10/5/87,328.08
10/6/87,319.22
10/7/87,318.52
10/8/87,314.16
10/9/87,311.07
10/12/87,309.39
10/13/87,314.52
10/14/87,305.23
10/15/87,298.08
10/16/87,282.7
10/19/87,224.84
10/20/87,236.83
10/21/87,258.38
10/22/87,248.25
10/23/87,248.22
10/26/87,227.67
10/27/87,233.19
10/28/87,233.28
10/29/87,244.77
10/30/87,251.79
11/2/87,255.75
11/3/87,250.82
11/4/87,248.96
11/5/87,254.48
11/6/87,250.41
11/9/87,243.17
11/10/87,239
11/11/87,241.9
11/12/87,248.52
11/13/87,245.64
11/16/87,246.76
11/17/87,243.04
11/18/87,245.55
11/19/87,240.05
11/20/87,242
11/23/87,242.99
11/24/87,246.39
11/25/87,244.1
11/27/87,240.34
11/30/87,230.3
12/1/87,232
12/2/87,233.45
