DATE,SP57BOND,,,,,,,,
4/30/08,368.56,,,,,,,,
5/1/08,368.28,,,,,,,,
5/2/08,366.54,,,,,,,,
5/5/08,366.9,,,,,,,,
5/6/08,366.55,,,,,,,,
5/7/08,367.42,,,,,,,,
5/8/08,368.83,,,,,,,,
5/9/08,369.6,,,,,,,,
5/12/08,369.35,,,,,,,,
5/13/08,366.36,,,,,,,,
5/14/08,365.49,,,,,,,,
5/15/08,367.41,,,,,,,,
5/16/08,367.29,,,,,,,,
5/19/08,367.74,,,,,,,,
5/20/08,369.16,,,,,,,,
5/21/08,368.04,,,,,,,,
5/22/08,365.71,,,,,,,,
5/23/08,367.48,,,,,,,,
5/27/08,365.91,,,,,,,,
5/28/08,364.21,,,,,,,,
5/29/08,363.12,,,,,,,,
5/30/08,363.38,,,,,,,,
6/2/08,365.68,,,,,,,,
6/3/08,367.62,,,,,,,,
6/4/08,367.18,,,,,,,,
6/5/08,365.64,,,,,,,,
6/6/08,367.64,,,,,,,,
6/9/08,365.02,,,,,,,,
6/10/08,362.55,,,,,,,,
6/11/08,363.45,,,,,,,,
6/12/08,360.53,,,,,,,,
6/13/08,359.5,,,,,,,,
6/16/08,359.69,,,,,,,,
6/17/08,360.66,,,,,,,,
6/18/08,362.3,,,,,,,,
6/19/08,361,,,,,,,,
6/20/08,362.53,,,,,,,,
6/23/08,361.81,,,,,,,,
6/24/08,363.37,,,,,,,,
6/25/08,363.27,,,,,,,,
6/26/08,365.48,,,,,,,,
6/27/08,366.25,,,,,,,,
6/30/08,366.62,,,,,,,,
7/1/08,366.53,,,,,,,,
7/2/08,367.29,,,,,,,,
7/3/08,367.47,,,,,,,,
7/7/08,368.89,,,,,,,,
7/8/08,369.63,,,,,,,,
7/9/08,370.42,,,,,,,,
7/10/08,370.93,,,,,,,,
7/11/08,367.99,,,,,,,,
7/14/08,369.36,,,,,,,,
7/15/08,370.57,,,,,,,,
7/16/08,369.34,,,,,,,,
7/17/08,367.04,,,,,,,,
7/18/08,366.09,,,,,,,,
7/21/08,366.31,,,,,,,,
7/22/08,365.57,,,,,,,,
7/23/08,364.39,,,,,,,,
7/24/08,367.37,,,,,,,,
7/25/08,365.82,,,,,,,,
7/28/08,367.78,,,,,,,,
7/29/08,367.18,,,,,,,,
7/30/08,367.04,,,,,,,,
7/31/08,368.83,,,,,,,,
8/1/08,369.55,,,,,,,,
8/4/08,369.22,,,,,,,,
8/5/08,368.81,,,,,,,,
8/6/08,368.15,,,,,,,,
8/7/08,370.76,,,,,,,,
8/8/08,370,,,,,,,,
8/11/08,369.2,,,,,,,,
8/12/08,371.09,,,,,,,,
8/13/08,370.54,,,,,,,,
8/14/08,371.37,,,,,,,,
8/15/08,372.13,,,,,,,,
8/18/08,372.89,,,,,,,,
8/19/08,372.71,,,,,,,,
8/20/08,373.77,,,,,,,,
8/21/08,372.87,,,,,,,,
8/22/08,371.81,,,,,,,,
8/25/08,373.71,,,,,,,,
8/26/08,373.51,,,,,,,,
8/27/08,373.97,,,,,,,,
8/28/08,373.38,,,,,,,,
8/29/08,373.21,,,,,,,,
9/2/08,375.14,,,,,,,,
9/3/08,376.08,,,,,,,,
9/4/08,377.17,,,,,,,,
9/5/08,376.43,,,,,,,,
9/8/08,375.88,,,,,,,,
9/9/08,377.23,,,,,,,,
9/10/08,376.43,,,,,,,,
9/11/08,377.08,,,,,,,,
9/12/08,375.33,,,,,,,,
9/15/08,381.72,,,,,,,,
9/16/08,380.73,,,,,,,,
9/17/08,383.88,,,,,,,,
9/18/08,384.07,,,,,,,,
9/19/08,375.37,,,,,,,,
9/22/08,374.78,,,,,,,,
9/23/08,375.1,,,,,,,,
9/24/08,377.47,,,,,,,,
9/25/08,374.98,,,,,,,,
9/26/08,375.95,,,,,,,,
9/29/08,381.06,,,,,,,,
9/30/08,376.38,,,,,,,,
10/1/08,377.79,,,,,,,,
10/2/08,381.27,,,,,,,,
10/3/08,381.66,,,,,,,,
10/6/08,387.09,,,,,,,,
10/7/08,385.51,,,,,,,,
10/8/08,379.18,,,,,,,,
10/9/08,376.56,,,,,,,,
10/10/08,377.56,,,,,,,,
10/14/08,374.02,,,,,,,,
10/15/08,374.98,,,,,,,,
10/16/08,376.01,,,,,,,,
10/17/08,375.87,,,,,,,,
10/20/08,376.72,,,,,,,,
10/21/08,380.65,,,,,,,,
10/22/08,381.84,,,,,,,,
10/23/08,382.94,,,,,,,,
10/24/08,381.16,,,,,,,,
10/27/08,380.1,,,,,,,,
10/28/08,378.94,,,,,,,,
10/29/08,378.19,,,,,,,,
10/30/08,377.67,,,,,,,,
10/31/08,377.77,,,,,,,,
11/3/08,379.83,,,,,,,,
11/4/08,382.21,,,,,,,,
11/5/08,383.51,,,,,,,,
11/6/08,383.96,,,,,,,,
11/7/08,382.71,,,,,,,,
11/10/08,383.64,,,,,,,,
11/12/08,386.33,,,,,,,,
11/13/08,386.06,,,,,,,,
11/14/08,387.13,,,,,,,,
11/17/08,388.25,,,,,,,,
11/18/08,390.59,,,,,,,,
11/19/08,392.94,,,,,,,,
11/20/08,396.76,,,,,,,,
11/21/08,395.3,,,,,,,,
11/24/08,391.59,,,,,,,,
11/25/08,395.9,,,,,,,,
11/26/08,397.92,,,,,,,,
11/28/08,399.03,,,,,,,,
12/1/08,404.18,,,,,,,,
12/2/08,405.13,,,,,,,,
12/3/08,405.85,,,,,,,,
12/4/08,407.97,,,,,,,,
12/5/08,405.41,,,,,,,,
12/8/08,404.24,,,,,,,,
12/9/08,406.02,,,,,,,,
12/10/08,406.1,,,,,,,,
12/11/08,408.18,,,,,,,,
12/12/08,409.04,,,,,,,,
12/15/08,409.8,,,,,,,,
12/16/08,413.26,,,,,,,,
12/17/08,413.93,,,,,,,,
12/18/08,415.37,,,,,,,,
12/19/08,413.83,,,,,,,,
12/22/08,413.23,,,,,,,,
12/23/08,412.83,,,,,,,,
12/24/08,411.87,,,,,,,,
12/26/08,413.02,,,,,,,,
12/29/08,414.03,,,,,,,,
12/30/08,413.81,,,,,,,,
12/31/08,411.45,,,,,,,,
1/2/09,407.7,,,,,,,,
1/5/09,408.1,,,,,,,,
1/6/09,407.91,,,,,,,,
1/7/09,408.68,,,,,,,,
1/8/09,410.18,,,,,,,,
1/9/09,411.48,,,,,,,,
1/12/09,413.43,,,,,,,,
1/13/09,413.64,,,,,,,,
1/14/09,415.09,,,,,,,,
1/15/09,415.07,,,,,,,,
1/16/09,412.82,,,,,,,,
1/20/09,412.64,,,,,,,,
1/21/09,409.08,,,,,,,,
1/22/09,407.97,,,,,,,,
1/23/09,407.27,,,,,,,,
1/26/09,406.77,,,,,,,,
1/27/09,408.41,,,,,,,,
1/28/09,405.89,,,,,,,,
1/29/09,402.97,,,,,,,,
1/30/09,402.74,,,,,,,,
2/2/09,405.22,,,,,,,,
2/3/09,402.65,,,,,,,,
2/4/09,400.99,,,,,,,,
2/5/09,401.61,,,,,,,,
2/6/09,400.23,,,,,,,,
