DATE,SPUSBOND,,,,,,,,
4/30/08,327.02,,,,,,,,
5/1/08,326.97,,,,,,,,
5/2/08,325.75,,,,,,,,
5/5/08,325.91,,,,,,,,
5/6/08,325.44,,,,,,,,
5/7/08,325.93,,,,,,,,
5/8/08,326.95,,,,,,,,
5/9/08,327.5,,,,,,,,
5/12/08,327.36,,,,,,,,
5/13/08,325.42,,,,,,,,
5/14/08,324.9,,,,,,,,
5/15/08,326.11,,,,,,,,
5/16/08,326.04,,,,,,,,
5/19/08,326.39,,,,,,,,
5/20/08,327.4,,,,,,,,
5/21/08,326.66,,,,,,,,
5/22/08,325.17,,,,,,,,
5/23/08,326.44,,,,,,,,
5/27/08,325.26,,,,,,,,
5/28/08,324.1,,,,,,,,
5/29/08,323.24,,,,,,,,
5/30/08,323.66,,,,,,,,
6/2/08,324.97,,,,,,,,
6/3/08,326.14,,,,,,,,
6/4/08,325.54,,,,,,,,
6/5/08,324.55,,,,,,,,
6/6/08,325.77,,,,,,,,
6/9/08,324.54,,,,,,,,
6/10/08,322.87,,,,,,,,
6/11/08,323.38,,,,,,,,
6/12/08,321.55,,,,,,,,
6/13/08,320.91,,,,,,,,
6/16/08,321.24,,,,,,,,
6/17/08,321.68,,,,,,,,
6/18/08,322.77,,,,,,,,
6/19/08,322.01,,,,,,,,
6/20/08,323.08,,,,,,,,
6/23/08,322.69,,,,,,,,
6/24/08,323.67,,,,,,,,
6/25/08,323.7,,,,,,,,
6/26/08,325.15,,,,,,,,
6/27/08,325.73,,,,,,,,
6/30/08,326,,,,,,,,
7/1/08,325.82,,,,,,,,
7/2/08,326.53,,,,,,,,
7/3/08,326.55,,,,,,,,
7/7/08,327.41,,,,,,,,
7/8/08,327.96,,,,,,,,
7/9/08,328.52,,,,,,,,
7/10/08,328.8,,,,,,,,
7/11/08,326.75,,,,,,,,
7/14/08,327.91,,,,,,,,
7/15/08,328.46,,,,,,,,
7/16/08,327.41,,,,,,,,
7/17/08,325.99,,,,,,,,
7/18/08,325.44,,,,,,,,
7/21/08,325.61,,,,,,,,
7/22/08,325.13,,,,,,,,
7/23/08,324.43,,,,,,,,
7/24/08,326.38,,,,,,,,
7/25/08,325.17,,,,,,,,
7/28/08,326.59,,,,,,,,
7/29/08,326.3,,,,,,,,
7/30/08,326.2,,,,,,,,
7/31/08,327.23,,,,,,,,
8/1/08,327.69,,,,,,,,
8/4/08,327.48,,,,,,,,
8/5/08,327.14,,,,,,,,
8/6/08,326.6,,,,,,,,
8/7/08,328.42,,,,,,,,
8/8/08,328.15,,,,,,,,
8/11/08,327.5,,,,,,,,
8/12/08,328.75,,,,,,,,
8/13/08,328.43,,,,,,,,
8/14/08,329.08,,,,,,,,
8/15/08,329.66,,,,,,,,
8/18/08,330.32,,,,,,,,
