DATE,WILLLRGCAP
1978-06-30,1000.00
1978-07-03,.
1978-07-04,.
1978-07-05,.
1978-07-06,.
1978-07-07,.
1978-07-10,.
1978-07-11,.
1978-07-12,.
1978-07-13,.
1978-07-14,.
1978-07-17,.
1978-07-18,.
1978-07-19,.
1978-07-20,.
1978-07-21,.
1978-07-24,.
1978-07-25,.
1978-07-26,.
1978-07-27,.
1978-07-28,.
1978-07-31,1056.89
1978-08-01,.
1978-08-02,.
1978-08-03,.
1978-08-04,.
1978-08-07,.
1978-08-08,.
1978-08-09,.
1978-08-10,.
1978-08-11,.
1978-08-14,.
1978-08-15,.
1978-08-16,.
1978-08-17,.
1978-08-18,.
1978-08-21,.
1978-08-22,.
1978-08-23,.
1978-08-24,.
1978-08-25,.
1978-08-28,.
1978-08-29,.
1978-08-30,.
1978-08-31,1095.37
1978-09-01,.
1978-09-04,.
1978-09-05,.
1978-09-06,.
1978-09-07,.
1978-09-08,.
1978-09-11,.
1978-09-12,.
1978-09-13,.
1978-09-14,.
1978-09-15,.
1978-09-18,.
1978-09-19,.
1978-09-20,.
1978-09-21,.
1978-09-22,.
1978-09-25,.
1978-09-26,.
1978-09-27,.
1978-09-28,.
1978-09-29,1088.56
1978-10-02,.
1978-10-03,.
1978-10-04,.
1978-10-05,.
1978-10-06,.
1978-10-09,.
1978-10-10,.
1978-10-11,.
1978-10-12,.
1978-10-13,.
1978-10-16,.
1978-10-17,.
1978-10-18,.
1978-10-19,.
1978-10-20,.
1978-10-23,.
1978-10-24,.
1978-10-25,.
1978-10-26,.
1978-10-27,.
1978-10-30,.
1978-10-31,986.28
1978-11-01,.
1978-11-02,.
1978-11-03,.
1978-11-06,.
1978-11-07,.
1978-11-08,.
1978-11-09,.
1978-11-10,.
1978-11-13,.
1978-11-14,.
1978-11-15,.
1978-11-16,.
1978-11-17,.
1978-11-20,.
1978-11-21,.
1978-11-22,.
1978-11-23,.
1978-11-24,.
1978-11-27,.
1978-11-28,.
1978-11-29,.
1978-11-30,1017.18
1978-12-01,.
1978-12-04,.
1978-12-05,.
1978-12-06,.
1978-12-07,.
1978-12-08,.
1978-12-11,.
1978-12-12,.
1978-12-13,.
1978-12-14,.
1978-12-15,.
1978-12-18,.
1978-12-19,.
1978-12-20,.
1978-12-21,.
1978-12-22,.
1978-12-25,.
1978-12-26,.
1978-12-27,.
1978-12-28,.
1978-12-29,1035.20
1979-01-01,.
1979-01-02,.
1979-01-03,.
1979-01-04,.
1979-01-05,.
1979-01-08,.
1979-01-09,.
1979-01-10,.
1979-01-11,.
1979-01-12,.
1979-01-15,.
1979-01-16,.
1979-01-17,.
1979-01-18,.
1979-01-19,.
1979-01-22,.
1979-01-23,.
1979-01-24,.
1979-01-25,.
1979-01-26,.
1979-01-29,.
1979-01-30,.
1979-01-31,1078.64
1979-02-01,.
1979-02-02,.
1979-02-05,.
1979-02-06,.
1979-02-07,.
1979-02-08,.
1979-02-09,.
1979-02-12,.
1979-02-13,.
1979-02-14,.
1979-02-15,.
1979-02-16,.
1979-02-19,.
1979-02-20,.
1979-02-21,.
1979-02-22,.
1979-02-23,.
1979-02-26,.
1979-02-27,.
1979-02-28,1049.45
1979-03-01,.
1979-03-02,.
1979-03-05,.
1979-03-06,.
1979-03-07,.
1979-03-08,.
1979-03-09,.
1979-03-12,.
1979-03-13,.
1979-03-14,.
1979-03-15,.
1979-03-16,.
1979-03-19,.
1979-03-20,.
1979-03-21,.
1979-03-22,.
1979-03-23,.
1979-03-26,.
1979-03-27,.
1979-03-28,.
1979-03-29,.
1979-03-30,1112.43
1979-04-02,.
1979-04-03,.
1979-04-04,.
1979-04-05,.
1979-04-06,.
1979-04-09,.
1979-04-10,.
1979-04-11,.
1979-04-12,.
1979-04-13,.
1979-04-16,.
1979-04-17,.
1979-04-18,.
1979-04-19,.
1979-04-20,.
1979-04-23,.
1979-04-24,.
1979-04-25,.
1979-04-26,.
1979-04-27,.
1979-04-30,1119.66
1979-05-01,.
1979-05-02,.
1979-05-03,.
1979-05-04,.
1979-05-07,.
1979-05-08,.
1979-05-09,.
1979-05-10,.
1979-05-11,.
1979-05-14,.
1979-05-15,.
1979-05-16,.
1979-05-17,.
1979-05-18,.
1979-05-21,.
1979-05-22,.
1979-05-23,.
1979-05-24,.
1979-05-25,.
1979-05-28,.
1979-05-29,.
1979-05-30,.
1979-05-31,1106.39
1979-06-01,.
1979-06-04,.
1979-06-05,.
1979-06-06,.
1979-06-07,.
1979-06-08,.
1979-06-11,.
1979-06-12,.
1979-06-13,.
1979-06-14,.
1979-06-15,.
1979-06-18,.
1979-06-19,.
1979-06-20,.
1979-06-21,.
1979-06-22,.
1979-06-25,.
1979-06-26,.
1979-06-27,.
1979-06-28,.
1979-06-29,1156.59
1979-07-02,.
1979-07-03,.
1979-07-04,.
1979-07-05,.
1979-07-06,.
1979-07-09,.
1979-07-10,.
1979-07-11,.
1979-07-12,.
1979-07-13,.
1979-07-16,.
1979-07-17,.
1979-07-18,.
1979-07-19,.
1979-07-20,.
1979-07-23,.
1979-07-24,.
1979-07-25,.
1979-07-26,.
1979-07-27,.
1979-07-30,.
1979-07-31,1169.90
1979-08-01,.
1979-08-02,.
1979-08-03,.
1979-08-06,.
1979-08-07,.
1979-08-08,.
1979-08-09,.
1979-08-10,.
1979-08-13,.
1979-08-14,.
1979-08-15,.
1979-08-16,.
1979-08-17,.
1979-08-20,.
1979-08-21,.
1979-08-22,.
1979-08-23,.
1979-08-24,.
1979-08-27,.
1979-08-28,.
1979-08-29,.
1979-08-30,.
1979-08-31,1245.29
1979-09-03,.
1979-09-04,.
1979-09-05,.
1979-09-06,.
1979-09-07,.
1979-09-10,.
1979-09-11,.
1979-09-12,.
1979-09-13,.
1979-09-14,.
1979-09-17,.
1979-09-18,.
1979-09-19,.
1979-09-20,.
1979-09-21,.
1979-09-24,.
1979-09-25,.
1979-09-26,.
1979-09-27,.
1979-09-28,1250.23
1979-10-01,.
1979-10-02,.
1979-10-03,.
1979-10-04,.
1979-10-05,.
1979-10-08,.
1979-10-09,.
1979-10-10,.
1979-10-11,.
1979-10-12,.
1979-10-15,.
1979-10-16,.
1979-10-17,.
1979-10-18,.
1979-10-19,.
1979-10-22,.
1979-10-23,.
1979-10-24,.
1979-10-25,.
1979-10-26,.
1979-10-29,.
1979-10-30,.
1979-10-31,1166.78
1979-11-01,.
1979-11-02,.
1979-11-05,.
1979-11-06,.
1979-11-07,.
1979-11-08,.
1979-11-09,.
